clean_line1,clean_line2,line3,city,zip_code,label,phone,year,major_city,state,chain,Address_Type,Exit_Number,Exit_From_Address,Exit_From_Label,Main_Road,Secondary_Road,Exit_Number_2,Exit_Number_3,Tertiary_Road,Scraped_phone_match_rate,Yelp_phone_match_rate,place_identifier(year),Yellowbook_phone_match_rate,Webscraped_Phone_full_url,Webscraped_PlacedMatched_full_url,Yelp_URL,YellowPages_SEARCH_URL,Match_Comments,Final_Lat,Final_Long
E Heber City ( 84032 ) Silver Eagle Country Store,435-654-4642 1590 US 40 S ( 1/2 mi S of jct US 189 ),<U+2610><U+2610>,Heber City,84032,Silver Eagle Country Store,435-654-4642,2015,Heber City,UT,,Proper,,,,US 40,,,,,True,False,2,True,https://www.truckstopsandservices.com/location_details.php?id=12441; http://www.rvandtravelers.com/location_details.php?id=12441,https://www.truckstopsandservices.com/location_details.php?id=12441; http://www.rvandtravelers.com/location_details.php?id=12441,,https://www.yellowpages.com/search?search_terms=435+654+4642; https://www.yellowpages.com/search?search_terms=435+654+4642; https://www.yellowpages.com/search?search_terms=435+654+4642,,40.487707,-111.408197
Heber City ( 84032 ) Silver Eagle Country Store,435-654-4642 1590 US 40 S ( 1/2 mi S of jct US 189 ),<U+2610> D,Heber City,84032,Silver Eagle Country Store,435-654-4642,2016,Heber City,UT,,Proper,,,,US 40,,,,,True,False,2,True,https://www.truckstopsandservices.com/location_details.php?id=12441; http://www.rvandtravelers.com/location_details.php?id=12441,https://www.truckstopsandservices.com/location_details.php?id=12441; http://www.rvandtravelers.com/location_details.php?id=12441,,https://www.yellowpages.com/search?search_terms=435+654+4642; https://www.yellowpages.com/search?search_terms=435+654+4642; https://www.yellowpages.com/search?search_terms=435+654+4642,,40.487707,-111.408197
"( N ) , 84054 Flying J Fuel Stop # 0500100",801-936-1408 Salt Lake City I-215 Exit 28 ( UT 68 ) #,MU 24 <U+2610> <U+2610>,,84054,Flying J Fuel Stop # 0500100,801-936-1408,2006,North Salt Lake,UT,Flying J,Exit,28,28,,I-215,,,,,True,True,3,True,http://www.rvandtravelers.com/location_details.php?id=18340; https://www.truckstopsandservices.com/location_details.php?id=18340,https://www.truckstopsandservices.com/location_details.php?id=18340; http://www.rvandtravelers.com/location_details.php?id=18340,https://www.yelp.com/biz/flying-j-travel-center-north-salt-lake-3?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=801+936+1408; https://www.yellowpages.com/search?search_terms=801+936+1408; https://www.yellowpages.com/search?search_terms=801+936+1408,,40.836537,-111.933561
ISalt Lake City ( N ) Flying J Fuel Stop # 0500100,801-936-1408 I-215 Exit 28 ( UT 68 ),M <U+2610>,,84054,00,801-936-1408,2007,North Salt Lake,UT,,Exit,28,28,,I-215,,,,,True,True,3,True,http://www.rvandtravelers.com/location_details.php?id=18340; https://www.truckstopsandservices.com/location_details.php?id=18340,,https://www.yelp.com/biz/flying-j-travel-center-north-salt-lake-3?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=801+936+1408; https://www.yellowpages.com/search?search_terms=801+936+1408; https://www.yellowpages.com/search?search_terms=801+936+1408,,40.8365535,-111.9336655
"Salt Lake City ( N ) , 84054 Flying J Fuel Stop # 0500100 124",3 801-936-1408 I-215 Exit 28 ( UT 68 ),124 M,Salt Lake City,84054,Flying J Fuel Stop # 0500100 124,801-936-1408,2008,North Salt Lake,UT,Flying J,Exit,28,28,,I-215,,,,,True,True,3,True,http://www.rvandtravelers.com/location_details.php?id=18340; https://www.truckstopsandservices.com/location_details.php?id=18340,https://www.truckstopsandservices.com/location_details.php?id=18340; http://www.rvandtravelers.com/location_details.php?id=18340,https://www.yelp.com/biz/flying-j-travel-center-north-salt-lake-3?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=801+936+1408; https://www.yellowpages.com/search?search_terms=801+936+1408; https://www.yellowpages.com/search?search_terms=801+936+1408,,40.836537,-111.933561
D Salt Lake City ( North ) ( 84054 ) Flying J Fuel Stop # 772,3 801-936-1408 I-215 Exit 27 ( UT 68 N ),24 M,Salt Lake City,84054,Flying J Fuel Stop # 772,801-936-1408,2014,North Salt Lake,UT,Flying J,Exit,27,27,,I-215,,,,,True,True,3,True,http://www.rvandtravelers.com/location_details.php?id=18340; https://www.truckstopsandservices.com/location_details.php?id=18340,https://www.truckstopsandservices.com/location_details.php?id=18340; http://www.rvandtravelers.com/location_details.php?id=18340,https://www.yelp.com/biz/flying-j-travel-center-north-salt-lake-3?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=801+936+1408; https://www.yellowpages.com/search?search_terms=801+936+1408; https://www.yellowpages.com/search?search_terms=801+936+1408,,40.836537,-111.933561
Salt Lake City ( N ) ( 84054 ) Flying J Fuel Stop # 772,801-936-1408 I-215 Exit 27 ( UT 68 N ) FLYING J,FLYING J 24 DOMO,Salt Lake City,84054,Flying J Fuel Stop # 772,801-936-1408,2015,North Salt Lake,UT,Flying J,Exit,27,27,,I-215,,,,,True,True,3,True,http://www.rvandtravelers.com/location_details.php?id=18340; https://www.truckstopsandservices.com/location_details.php?id=18340,https://www.truckstopsandservices.com/location_details.php?id=18340; http://www.rvandtravelers.com/location_details.php?id=18340,https://www.yelp.com/biz/flying-j-travel-center-north-salt-lake-3?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=801+936+1408; https://www.yellowpages.com/search?search_terms=801+936+1408; https://www.yellowpages.com/search?search_terms=801+936+1408,,40.836537,-111.933561
Salt Lake City ( N ) ( 84054 ) Flying J Fuel Stop # 772,801-936-1408 I-215 Exit 27 ( UT 68 N ) FLYING,FLYING J 24,Salt Lake City,84054,Flying J Fuel Stop # 772,801-936-1408,2016,North Salt Lake,UT,Flying J,Exit,27,27,,I-215,,,,,True,True,3,True,http://www.rvandtravelers.com/location_details.php?id=18340; https://www.truckstopsandservices.com/location_details.php?id=18340,https://www.truckstopsandservices.com/location_details.php?id=18340; http://www.rvandtravelers.com/location_details.php?id=18340,https://www.yelp.com/biz/flying-j-travel-center-north-salt-lake-3?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=801+936+1408; https://www.yellowpages.com/search?search_terms=801+936+1408; https://www.yellowpages.com/search?search_terms=801+936+1408,,40.836537,-111.933561
"D Silver Creek , 84060 Bell's Silver Creek Junction ( Sinclair )",435-649-9243 I-80 Exit 146 ( US 40 ),MO,Silver Creek,84060,Bell's Silver Creek Junction ( Sinclair ),435-649-9243,2006,Park City,UT,Sinclair,Exit,146,146,,I-80,,,,,True,True,4,True,https://www.truckstopsandservices.com/location_details.php?id=319; http://www.rvandtravelers.com/location_details.php?id=319,https://www.truckstopsandservices.com/location_details.php?id=319; http://www.rvandtravelers.com/location_details.php?id=319,https://www.yelp.com/biz/blimpie-park-city?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/bells-silver-creek-park-city?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/subway-park-city-10?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=435+649+9243; https://www.yellowpages.com/search?search_terms=435+649+9243; https://www.yellowpages.com/search?search_terms=435+649+9243,,40.734404,-111.498391
"D Silver Creek , 84060 Bell's Silver Creek Junction ( Sinclair )",435-649-9243 I-80 Exit 146 ( US 40 ),) 24 MO D,Silver Creek,84060,Bell's Silver Creek Junction ( Sinclair ),435-649-9243,2007,Park City,UT,Sinclair,Exit,146,146,,I-80,,,,,True,True,4,True,https://www.truckstopsandservices.com/location_details.php?id=319; http://www.rvandtravelers.com/location_details.php?id=319,https://www.truckstopsandservices.com/location_details.php?id=319; http://www.rvandtravelers.com/location_details.php?id=319,https://www.yelp.com/biz/blimpie-park-city?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/bells-silver-creek-park-city?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/subway-park-city-10?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=435+649+9243; https://www.yellowpages.com/search?search_terms=435+649+9243; https://www.yellowpages.com/search?search_terms=435+649+9243,,40.734404,-111.498391
"D Silver Creek , 84060 Bell's Silver Creek Junction ( Sinclair )",435-649-9243 I-80 Exit 146 ( US 40 ),24 M <U+25A1> <U+25A1> <U+2610>,Silver Creek,84060,Bell's Silver Creek Junction ( Sinclair ),435-649-9243,2008,Park City,UT,Sinclair,Exit,146,146,,I-80,,,,,True,True,4,True,https://www.truckstopsandservices.com/location_details.php?id=319; http://www.rvandtravelers.com/location_details.php?id=319,https://www.truckstopsandservices.com/location_details.php?id=319; http://www.rvandtravelers.com/location_details.php?id=319,https://www.yelp.com/biz/blimpie-park-city?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/bells-silver-creek-park-city?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/subway-park-city-10?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=435+649+9243; https://www.yellowpages.com/search?search_terms=435+649+9243; https://www.yellowpages.com/search?search_terms=435+649+9243,,40.734404,-111.498391
D Silver Creek ( 84060 ) Bell's Silver Creek Junction ( Sinclair ),435-649-9243 I-80 Exit 146 ( US 40 ),24 S,Silver Creek,84060,Bell's Silver Creek Junction ( Sinclair ),435-649-9243,2014,Park City,UT,Sinclair,Exit,146,146,,I-80,,,,,True,True,4,True,https://www.truckstopsandservices.com/location_details.php?id=319; http://www.rvandtravelers.com/location_details.php?id=319,https://www.truckstopsandservices.com/location_details.php?id=319; http://www.rvandtravelers.com/location_details.php?id=319,https://www.yelp.com/biz/blimpie-park-city?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/bells-silver-creek-park-city?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/subway-park-city-10?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=435+649+9243; https://www.yellowpages.com/search?search_terms=435+649+9243; https://www.yellowpages.com/search?search_terms=435+649+9243,,40.734404,-111.498391
Silver Creek ( 84060 ) Bell's Silver Creek Junction ( Sinclair ),435-649-9243 I-80 Exit 146 ( US 40 ) AMREST,24 S D,Silver Creek,84060,Bell's Silver Creek Junction ( Sinclair ),435-649-9243,2015,Park City,UT,Sinclair,Exit,146,146,,I-80,,,,,True,True,4,True,https://www.truckstopsandservices.com/location_details.php?id=319; http://www.rvandtravelers.com/location_details.php?id=319,https://www.truckstopsandservices.com/location_details.php?id=319; http://www.rvandtravelers.com/location_details.php?id=319,https://www.yelp.com/biz/blimpie-park-city?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/bells-silver-creek-park-city?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/subway-park-city-10?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=435+649+9243; https://www.yellowpages.com/search?search_terms=435+649+9243; https://www.yellowpages.com/search?search_terms=435+649+9243,,40.734404,-111.498391
D Silver Creek ( 84060 ) Bell's Silver Creek Junction ( Sinclair ),435-649-9243 I-80 Exit 146 ( US 40 ),24 S <U+2610>,Silver Creek,84060,Bell's Silver Creek Junction ( Sinclair ),435-649-9243,2016,Park City,UT,Sinclair,Exit,146,146,,I-80,,,,,True,True,4,True,https://www.truckstopsandservices.com/location_details.php?id=319; http://www.rvandtravelers.com/location_details.php?id=319,https://www.truckstopsandservices.com/location_details.php?id=319; http://www.rvandtravelers.com/location_details.php?id=319,https://www.yelp.com/biz/blimpie-park-city?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/bells-silver-creek-park-city?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/subway-park-city-10?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=435+649+9243; https://www.yellowpages.com/search?search_terms=435+649+9243; https://www.yellowpages.com/search?search_terms=435+649+9243,,40.734404,-111.498391
"Roosevelt , 84066 Top Stop Food Store # 66 ( Sinclair )",435-722-9940 US 40 W,S T,Roosevelt,84066,Top Stop Food Store # 66 ( Sinclair ),435-722-9940,2006,Roosevelt,UT,Sinclair,empty,,,,US 40,,,,,True,True,5,True,http://www.rvandtravelers.com/location_details.php?id=12443; https://www.truckstopsandservices.com/location_details.php?id=12443,http://www.rvandtravelers.com/location_details.php?id=12443; https://www.truckstopsandservices.com/location_details.php?id=12443,https://www.yelp.com/biz/krispy-krunchy-chicken-roosevelt?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=435+722+9940; https://www.yellowpages.com/search?search_terms=435+722+9940,,40.283481,-110.011147
"Roosevelt , 84066 Top Stop Food Store # 66 ( Sinclair )",435-722-9940 US 40 W,SO,Roosevelt,84066,Top Stop Food Store # 66 ( Sinclair ),435-722-9940,2007,Roosevelt,UT,Sinclair,empty,,,,US 40,,,,,True,True,5,True,http://www.rvandtravelers.com/location_details.php?id=12443; https://www.truckstopsandservices.com/location_details.php?id=12443,http://www.rvandtravelers.com/location_details.php?id=12443; https://www.truckstopsandservices.com/location_details.php?id=12443,https://www.yelp.com/biz/krispy-krunchy-chicken-roosevelt?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=435+722+9940; https://www.yellowpages.com/search?search_terms=435+722+9940,,40.283481,-110.011147
"E Roosevelt , 84066 Top Stop Food Store # 66 ( Sinclair )",435-722-9940 US 40 W,<U+2610> <U+2610> <U+25A1> <U+25A1> <U+2610>,Roosevelt,84066,Top Stop Food Store # 66 ( Sinclair ),435-722-9940,2008,Roosevelt,UT,Sinclair,empty,,,,US 40,,,,,True,True,5,True,http://www.rvandtravelers.com/location_details.php?id=12443; https://www.truckstopsandservices.com/location_details.php?id=12443,http://www.rvandtravelers.com/location_details.php?id=12443; https://www.truckstopsandservices.com/location_details.php?id=12443,https://www.yelp.com/biz/krispy-krunchy-chicken-roosevelt?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=435+722+9940; https://www.yellowpages.com/search?search_terms=435+722+9940,,40.283481,-110.011147
Roosevelt ( 84066 ) Top Stop # 66 ( Chevron ),435-722-9940 1128 US 40 ( 1 mi W of town ),<U+25A1> S <U+25A1>,Roosevelt,84066,Top Stop # 66 ( Chevron ),435-722-9940,2014,Roosevelt,UT,Chevron,Proper,,,,US 40,,,,,True,True,5,True,http://www.rvandtravelers.com/location_details.php?id=12443; https://www.truckstopsandservices.com/location_details.php?id=12443,http://www.rvandtravelers.com/location_details.php?id=12443; https://www.truckstopsandservices.com/location_details.php?id=12443,https://www.yelp.com/biz/krispy-krunchy-chicken-roosevelt?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=435+722+9940; https://www.yellowpages.com/search?search_terms=435+722+9940,,40.283481,-110.011147
Roosevelt ( 84066 ) Top Stop # 66 ( Chevron ),$ 435-722-9940 1128 US 40 ( 1 mi W of town ),<U+2610> S <U+25A1> <U+25A1> <U+25A1>,Roosevelt,84066,Top Stop # 66 ( Chevron ),435-722-9940,2015,Roosevelt,UT,Chevron,Proper,,,,US 40,,,,,True,True,5,True,http://www.rvandtravelers.com/location_details.php?id=12443; https://www.truckstopsandservices.com/location_details.php?id=12443,http://www.rvandtravelers.com/location_details.php?id=12443; https://www.truckstopsandservices.com/location_details.php?id=12443,https://www.yelp.com/biz/krispy-krunchy-chicken-roosevelt?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=435+722+9940; https://www.yellowpages.com/search?search_terms=435+722+9940,,40.283481,-110.011147
